Data,Arquivo,Publicação,UF,Outras informações,Imagem,Onde está,Destaque,Tipo,Assunto,Complemento,Localização,Interesse,Outras informações
1972.05.15,Hemeroteca da Biblioteca Nacional,Diario da Noite : Edição Matutina,SP,Edição 14251,I0024927-2Alt=002885Lar=001884LargOri=004208AltOri=006444.JPG,"Teatro, 1o. parágrafo.",I0024927.png,Teatro,Romanceiro da Inconfidência,Texto de Cecília Meireles sobre a Inconfidência Mineira. Grupo teatral Repertório.,"Teatro Ruth Escobar, Sala Gil Vicente - Rua dos Ingleses, 209, Bela Vista, São Paulo, SP",Baixo,
1972.12.08,Hemeroteca da Biblioteca Nacional,Diario da Noite : Edição Matutina,SP,Edição 14429,I0020964-2Alt=003030Lar=001884LargOri=004202AltOri=006759.JPG,"Teatro, Elenco.",I0020964.png,Teatro,Morte e Vida Severina,Texto de João Cabral de Mello Netto. Grupo teatral A Barca.,Vários,Baixo,
1973.06.26,Acervo da Folha de S. Paulo,Folha de S. Paulo,SP,Caderno Ilustrada,4400670.png,"Música, Grupo Raízes",4400670h.png,Show,Grupo Raízes,,"Teatro Treze de Maio – Rua Treze de Maio, 134, Bela Vista, São Paulo, SP",Baixo,
1974.03.01,Hemeroteca da Biblioteca Nacional,Diario da Tarde,PR,Edição 22175,I0129820-2Alt=002068Lar=001453LargOri=004117AltOri=005860.JPG,"Utilidades, Peça no Guaira",I0129820.png,Teatro,Três dias para Donana,,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",Baixo,
1974.03.05,Hemeroteca da Biblioteca Nacional,Diario da Tarde,PR,Edição 22179,I0129852-20Alt=002633Lar=001884LargOri=004196AltOri=005864.JPG,"Atrações, Teatro.",I0129852.png,Teatro,Três dias para Donana,,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",Baixo,
1974.03.06,Hemeroteca da Biblioteca Nacional,Diario da Tarde,PR,Edição 22180A,I0129862-2Alt=002629Lar=001884LargOri=004200AltOri=005860.JPG,"Utilidades, “O tratado das tortazinhas”.",I0129862.png,Teatro,O Tratado das Tortazinhas,,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",Baixo,
1974.03.07,Hemeroteca da Biblioteca Nacional,Diario da Tarde,PR,Edição 22180B,I0129870-2Alt=002629Lar=001884LargOri=004200AltOri=005860.JPG,"Atrações, Teatro.",I0129870.png,Teatro,Três dias para Donana,Estreia,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",Baixo,
1974.03.07,Hemeroteca da Biblioteca Nacional,Diário do Paraná: Orgao dos Diários Associados,PR,Edição 05604,I0096763-20Alt=002572Lar=001884LargOri=004487AltOri=006126.JPG,Donana inicia no Guairinha,I0096763.png,Teatro,Três dias para Donana,Estreia,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",Baixo,
1974.03.09,Hemeroteca da Biblioteca Nacional,Diário do Paraná: Orgao dos Diários Associados,PR,Edição 05606,I0096800-2Alt=002572Lar=001884LargOri=004487AltOri=006126.JPG,"Teatros, Guaira.",I0096800.png,Teatro,Três dias para Donana,,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",Baixo,
1974.03.10,Hemeroteca da Biblioteca Nacional,Diário do Paraná: Orgao dos Diários Associados,PR,Edição 05607,I0096820-2Alt=002576Lar=001884LargOri=004482AltOri=006129.JPG,"O bom teatro, Guaira.",I0096820.png,Teatro,Três dias para Donana e O tratado das tortazinhas,,"Teatro Guaíra - Rua XV de Novembro, 971, Centro, Curitiba, PR",Baixo,
